#From To FromNode FromLayer ToNode ToLayer Delay EdgeLayer
1 2 0 0 0 0 2.00 3
2 1 0 0 0 0 2.00 3
2 3 0 0 0 0 2.00 3
3 2 0 0 0 0 2.00 3
3 4 0 0 0 0 2.00 3
4 3 0 0 0 0 2.00 3
4 5 0 0 0 0 2.00 3
5 4 0 0 0 0 2.00 3
5 6 0 0 0 0 2.00 3
6 5 0 0 0 0 2.00 3
6 7 0 0 0 0 2.00 3
7 6 0 0 0 0 2.00 3
2 8 0 0 0 0 2.00 3
8 2 0 0 0 0 2.00 3
8 9 0 0 0 0 2.00 3
9 8 0 0 0 0 2.00 3
9 10 0 0 0 0 2.00 3
10 9 0 0 0 0 2.00 3
6 10 0 0 0 0 2.00 3
10 6 0 0 0 0 2.00 3
1 2 0 0 0 0 1.00 0
2 1 0 0 0 0 1.00 0
2 3 0 0 0 0 1.00 0
3 2 0 0 0 0 1.00 0
3 4 0 0 0 0 1.00 0
4 3 0 0 0 0 1.00 0
4 5 0 0 0 0 1.00 0
5 4 0 0 0 0 1.00 0
5 6 0 0 0 0 1.00 0
6 5 0 0 0 0 1.00 0
6 7 0 0 0 0 1.00 0
7 6 0 0 0 0 1.00 0
2 8 0 0 0 0 1.00 0
8 2 0 0 0 0 1.00 0
